type,timeLogged,timeQueued,orig,rcpt,orcpt,dsnAction,dsnStatus,dsnDiag,dsnMta,bounceCat,srcType,srcMta,dlvType,dlvSourceIp,dlvDestinationIp,dlvEsmtpAvailable,dlvSize,vmta,vmtaPool,jobId,envId,queue,vmtaPool2
d,2024-01-20T10:30:00Z,2024-01-20T10:29:58Z,sender@example.com,user1@gmail.com,,delivered,250,smtp; 250 2.0.0 OK,mx.google.com,,local,mta-1,smtp,192.168.1.10,74.125.24.27,STARTTLS|8BITMIME,25420,vmta-1,pool-main,JOB-1001,ENV-001,queue-1,pool-main
d,2024-01-20T10:30:01Z,2024-01-20T10:29:59Z,sender@example.com,user2@yahoo.com,,delivered,250,smtp; 250 OK,mta5.am0.yahoodns.net,,local,mta-1,smtp,192.168.1.10,66.196.118.35,STARTTLS|8BITMIME,18540,vmta-2,pool-main,JOB-1001,ENV-002,queue-1,pool-main
d,2024-01-20T10:30:02Z,2024-01-20T10:30:00Z,sender@example.com,user3@outlook.com,,delivered,250,smtp; 250 2.6.0 Message queued,outlook-com.olc.protection.outlook.com,,local,mta-1,smtp,192.168.1.11,40.101.30.10,STARTTLS|8BITMIME,22100,vmta-1,pool-main,JOB-1002,ENV-003,queue-1,pool-main
b,2024-01-20T10:30:03Z,2024-01-20T10:30:01Z,sender@example.com,invalid@bounce.test,,failed,550,smtp; 550 5.1.1 User unknown,mail.bounce.test,hard,local,mta-1,smtp,192.168.1.10,10.0.0.1,8BITMIME,0,vmta-3,pool-secondary,JOB-1001,ENV-004,queue-1,pool-secondary
d,2024-01-20T10:30:04Z,2024-01-20T10:30:02Z,promo@deals.com,customer1@gmail.com,,delivered,250,smtp; 250 2.0.0 OK,mx.google.com,,local,mta-2,smtp,192.168.1.12,74.125.24.26,STARTTLS|8BITMIME,35200,vmta-4,pool-promo,JOB-1003,ENV-005,queue-2,pool-promo
d,2024-01-20T10:30:05Z,2024-01-20T10:30:03Z,promo@deals.com,customer2@hotmail.com,,delayed,421,smtp; 421 4.7.0 Try again later,mx1.hotmail.com,,local,mta-2,smtp,192.168.1.12,65.55.92.184,STARTTLS,0,vmta-4,pool-promo,JOB-1003,ENV-006,queue-2,pool-promo
d,2024-01-20T10:30:06Z,2024-01-20T10:30:04Z,news@updates.co,reader1@aol.com,,delivered,250,smtp; 250 OK,mailin-01.mx.aol.com,,local,mta-1,smtp,192.168.1.10,64.12.90.33,STARTTLS|8BITMIME,28900,vmta-1,pool-main,JOB-1004,ENV-007,queue-1,pool-main
d,2024-01-20T10:30:07Z,2024-01-20T10:30:05Z,news@updates.co,reader2@icloud.com,,delivered,250,smtp; 250 2.0.0 OK,mx.icloud.com,,local,mta-1,smtp,192.168.1.10,17.57.155.50,STARTTLS|8BITMIME,19800,vmta-2,pool-main,JOB-1004,ENV-008,queue-1,pool-main
d,2024-01-20T10:30:08Z,2024-01-20T10:30:06Z,sender@example.com,user4@gmail.com,,delivered,250,smtp; 250 2.0.0 OK,mx.google.com,,local,mta-1,smtp,192.168.1.10,74.125.24.27,STARTTLS|8BITMIME,24100,vmta-1,pool-main,JOB-1001,ENV-009,queue-1,pool-main
d,2024-01-20T10:30:09Z,2024-01-20T10:30:07Z,sender@example.com,user5@gmail.com,,delivered,250,smtp; 250 2.0.0 OK,mx.google.com,,local,mta-1,smtp,192.168.1.10,74.125.24.27,STARTTLS|8BITMIME,26700,vmta-1,pool-main,JOB-1001,ENV-010,queue-1,pool-main
